PetID,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4
015da9e87,-0.87911266,0.44326234,0.6894224,-0.13910799,-0.35672045
022606901,-4.0202775,-0.57712585,1.3335379,2.0543475,1.4751073
02f89bdcb,-2.3361366,-0.36636743,0.25928113,1.1894815,1.085584
0cf7fae9d,-0.8995326,0.8996959,0.85931313,-0.42151836,-0.6845422
0e922caab,-1.0214292,0.8172228,0.39354232,0.5843491,-0.6583037
1347325db,-0.9218883,0.5712359,0.46590587,-0.14737102,0.09068727
142da3f69,-0.061999794,1.4275146,0.45062792,-0.6296694,-1.392539
1557f91e8,-1.731741,0.80587316,0.8419934,0.07361443,-0.5039058
164857bd8,-3.6221266,-1.1705887,0.6407232,1.3633726,2.9762654
1c60a65e8,-1.2520677,0.42694244,0.63278157,-0.1961179,0.24715197
1eb1f56ed,-1.7739078,-0.6247629,0.8228075,-0.16809067,1.7210547
20bad295b,-0.7957707,0.60979456,0.56370276,-0.09015972,-0.6857081
23e49bd2e,-1.5631539,0.7486153,0.86428714,0.336945,-0.71779066
24e0380f1,-0.3979088,1.9997141,0.89529306,-0.0012396388,-2.6928177
259b10a3e,-2.0241702,0.31971854,0.53528374,0.54529685,0.65394515
2f7563006,-1.0625812,0.76542175,1.2592206,-0.19964881,-0.8966267
3316a5619,-0.6884794,0.49362543,0.98561776,-0.15406984,-0.71149623
36e1415c8,-1.9238335,0.6954156,1.0228286,0.041962374,-0.34805182
383e5b82e,-1.2222708,1.1841823,0.87408215,0.5183879,-1.0196186
390689a38,-1.2696093,1.3383206,0.7134126,0.108262286,-0.9482786
3bbbccce4,-1.4479213,-0.08837951,0.46966714,0.40307677,0.65633446
416cb5d6d,-0.2710763,0.94705915,0.17479996,-0.37830356,-0.58488774
484346fbc,-1.4208971,0.79005647,0.90802395,0.49765435,-0.93313557
497d68d48,-1.5104331,0.547424,0.69562453,0.32219675,-0.27786598
4aa9a342e,-2.3655097,0.07414642,1.023661,0.89490205,0.063723885
4d163b731,-1.0298637,0.62792885,0.16566998,-0.10475156,0.22444451
5376c81df,-1.8762313,1.2696605,0.83225405,0.2606353,-0.4888458
54e731fab,-2.0395396,-0.65754974,0.13299112,0.9068089,1.7065175
596cf7334,-0.4999478,1.8315161,1.3756015,-0.22895771,-2.8646438
5a089c77f,-1.035418,1.2642292,1.098898,0.37502733,-1.8831561
